KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
P3713,Logistika,,,,,
P3901,Aplikované vědy v inženýrství,,,,,
P3902,Inženýrská informatika,,Computer Science and Engineering,,,
P3903,Kybernetika a řídící technika,,,,,
P3904,Inženýrská ekologie,,,,,
P3906,Speciální technologie,,,,,
P3907,Energetika,,,,,
P3908,Požární ochrana a průmyslová bezpečnost,,,,,
P3909,Procesní inženýrství,,Process Engineering,,,
P3910,Fyzikální a materiálové inženýrství,,,,,
P3911,Materiálové vědy,,,,,
P3912,Speciální chemicko-biologické obory,,Special Chemical and Biological Programmes,,,
P3913,Aplikace přírodních věd,,,,,
P3914,Krajinné inženýrství,,Landscape Engineering,,,
P3916,Biomedicínské inženýrství - bionika,,,,,
P3917,Soudní inženýrství,,,,,
P3918,Aplikované vědy a informatika,,Applied Sciences and Computer Engineering,,,
P3919,Biomechanika,,Biomechanics,,,
P3920,Metrologie a zkušebnictví,,,,,
P3921,Biomedicínská a klinická technika,,Biomedical and Clinical Technology,,,
P3924,Materiálové vědy a inženýrství,,Materials Science and Engineering,,,
P3925,Řízení průmyslových systémů,,,,,
P3926,Vojenské technologie,,Military Technology,,,
P3929,Aplikovaná geoinformatika,,,,,
P3931,Environmentální vědy,,Environmental Science,,,
P3942,Nanotechnologie,,,,,
P3952,Biomedicínské inženýrství a bioinformatika,,,,,
P3962,Biomedicínské technologie a bioinformatika,,,,,
P4101,Zemědělské inženýrství,,Agricultural Engineering,,,
P4102,Fytotechnika,,Crop Science,,,
P4103,Zootechnika,,"Animal Science, Animal Breeding",,,
P4106,Zemědělská specializace,,Agricultural Specialization,,,
P4107,Lesní inženýrství,,Forestry Engineering,,,
P4108,Zahradnické inženýrství,,Hortical Engineering,,,
P4109,Zahradní a krajinářská architektura,,,,,
P4111,Zahradní a krajinná architektura,,,,,
P4114,Biotechnologie,,,,,
P4145,Kvalita a zpracování zemědělských produktů,,,,,
P4146,Hodnocení a ochrana půdy,,,,,
P4147,Udržitelné využívání přírodních zdrojů,,Sustainable Use of Natural Resources,,,
P4148,"Zemědělství, zahradnictví a rozvoj venkova",,,,,
P4149,Rozvoj venkova a zemědělství,,,,,
P4150,Genové technologie a šlechtění,,,,,
P4151,Péče o biosféru,,,,,
P4153,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,Natural Resources and Environment (Přírodní zdroje a životní prostředí),,,
P4167,Plant Production,,Plant Production,,,
P4301,Veterinární lékařství,,,,,
P4302,Veterinární hygiena a ekologie,,Veterinary Hygiene and Ecology,,,
P5103,Všeobecné lékařství,,,,,
P5104,Stomatologie,,Dentistry,,,
